"run_type_id","distance_category_id","elevation_category_id","weather_category_id","run_type_name","vibe_description"
"RUN_0020","DIST_01","ELEV_02","WXCAT_05","Dry Rolling Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0021","DIST_01","ELEV_02","WXCAT_06","Swampy Rolling Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0022","DIST_01","ELEV_02","WXCAT_07","Toasty Rolling Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0023","DIST_01","ELEV_02","WXCAT_08","Slick Rolling Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0024","DIST_01","ELEV_02","WXCAT_09","Sweaty Rolling Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0025","DIST_01","ELEV_02","WXCAT_10","Molten Rolling Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0026","DIST_01","ELEV_02","WXCAT_11","Desert Rolling Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0027","DIST_01","ELEV_02","WXCAT_12","Windy Rolling Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0028","DIST_01","ELEV_02","WXCAT_13","Stormy Rolling Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0029","DIST_01","ELEV_02","WXCAT_14","Foggy Rolling Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0030","DIST_01","ELEV_02","WXCAT_15","Perfect Rolling Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0031","DIST_01","ELEV_03","WXCAT_01","Frozen Hilly Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0032","DIST_01","ELEV_03","WXCAT_02","Chilly Hilly Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0033","DIST_01","ELEV_03","WXCAT_03","Crisp Hilly Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0034","DIST_01","ELEV_03","WXCAT_04","Damp Hilly Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0035","DIST_01","ELEV_03","WXCAT_05","Dry Hilly Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0036","DIST_01","ELEV_03","WXCAT_06","Swampy Hilly Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0037","DIST_01","ELEV_03","WXCAT_07","Toasty Hilly Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0038","DIST_01","ELEV_03","WXCAT_08","Slick Hilly Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0039","DIST_01","ELEV_03","WXCAT_09","Sweaty Hilly Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0040","DIST_01","ELEV_03","WXCAT_10","Molten Hilly Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0041","DIST_01","ELEV_03","WXCAT_11","Desert Hilly Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0042","DIST_01","ELEV_03","WXCAT_12","Windy Hilly Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0043","DIST_01","ELEV_03","WXCAT_13","Stormy Hilly Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0044","DIST_01","ELEV_03","WXCAT_14","Foggy Hilly Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0045","DIST_01","ELEV_03","WXCAT_15","Perfect Hilly Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0046","DIST_01","ELEV_04","WXCAT_01","Frozen Climber's Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0047","DIST_01","ELEV_04","WXCAT_02","Chilly Climber's Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0048","DIST_01","ELEV_04","WXCAT_03","Crisp Climber's Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0049","DIST_01","ELEV_04","WXCAT_04","Damp Climber's Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0050","DIST_01","ELEV_04","WXCAT_05","Dry Climber's Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0051","DIST_01","ELEV_04","WXCAT_06","Swampy Climber's Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0052","DIST_01","ELEV_04","WXCAT_07","Toasty Climber's Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0053","DIST_01","ELEV_04","WXCAT_08","Slick Climber's Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0054","DIST_01","ELEV_04","WXCAT_09","Sweaty Climber's Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0055","DIST_01","ELEV_04","WXCAT_10","Molten Climber's Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0056","DIST_01","ELEV_04","WXCAT_11","Desert Climber's Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0057","DIST_01","ELEV_04","WXCAT_12","Windy Climber's Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0058","DIST_01","ELEV_04","WXCAT_13","Stormy Climber's Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0059","DIST_01","ELEV_04","WXCAT_14","Foggy Climber's Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0060","DIST_01","ELEV_04","WXCAT_15","Perfect Climber's Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0061","DIST_01","ELEV_05","WXCAT_01","Frozen Leg Burner Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0062","DIST_01","ELEV_05","WXCAT_02","Chilly Leg Burner Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0063","DIST_01","ELEV_05","WXCAT_03","Crisp Leg Burner Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0064","DIST_01","ELEV_05","WXCAT_04","Damp Leg Burner Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0065","DIST_01","ELEV_05","WXCAT_05","Dry Leg Burner Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0066","DIST_01","ELEV_05","WXCAT_06","Swampy Leg Burner Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0067","DIST_01","ELEV_05","WXCAT_07","Toasty Leg Burner Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0068","DIST_01","ELEV_05","WXCAT_08","Slick Leg Burner Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0069","DIST_01","ELEV_05","WXCAT_09","Sweaty Leg Burner Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0070","DIST_01","ELEV_05","WXCAT_10","Molten Leg Burner Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0071","DIST_01","ELEV_05","WXCAT_11","Desert Leg Burner Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0072","DIST_01","ELEV_05","WXCAT_12","Windy Leg Burner Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0073","DIST_01","ELEV_05","WXCAT_13","Stormy Leg Burner Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0074","DIST_01","ELEV_05","WXCAT_14","Foggy Leg Burner Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0075","DIST_01","ELEV_05","WXCAT_15","Perfect Leg Burner Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0076","DIST_01","ELEV_06","WXCAT_01","Frozen Summit Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0077","DIST_01","ELEV_06","WXCAT_02","Chilly Summit Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0078","DIST_01","ELEV_06","WXCAT_03","Crisp Summit Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0079","DIST_01","ELEV_06","WXCAT_04","Damp Summit Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0080","DIST_01","ELEV_06","WXCAT_05","Dry Summit Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0081","DIST_01","ELEV_06","WXCAT_06","Swampy Summit Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0082","DIST_01","ELEV_06","WXCAT_07","Toasty Summit Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0083","DIST_01","ELEV_06","WXCAT_08","Slick Summit Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0084","DIST_01","ELEV_06","WXCAT_09","Sweaty Summit Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0085","DIST_01","ELEV_06","WXCAT_10","Molten Summit Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0086","DIST_01","ELEV_06","WXCAT_11","Desert Summit Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0087","DIST_01","ELEV_06","WXCAT_12","Windy Summit Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0088","DIST_01","ELEV_06","WXCAT_13","Stormy Summit Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0089","DIST_01","ELEV_06","WXCAT_14","Foggy Summit Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0090","DIST_01","ELEV_06","WXCAT_15","Perfect Summit Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0091","DIST_01","ELEV_99","WXCAT_01","Frozen Unknown Terrain Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0092","DIST_01","ELEV_99","WXCAT_02","Chilly Unknown Terrain Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0093","DIST_01","ELEV_99","WXCAT_03","Crisp Unknown Terrain Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0094","DIST_01","ELEV_99","WXCAT_04","Damp Unknown Terrain Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0095","DIST_01","ELEV_99","WXCAT_05","Dry Unknown Terrain Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0096","DIST_01","ELEV_99","WXCAT_06","Swampy Unknown Terrain Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0097","DIST_01","ELEV_99","WXCAT_07","Toasty Unknown Terrain Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0098","DIST_01","ELEV_99","WXCAT_08","Slick Unknown Terrain Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0099","DIST_01","ELEV_99","WXCAT_09","Sweaty Unknown Terrain Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0100","DIST_01","ELEV_99","WXCAT_10","Molten Unknown Terrain Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0101","DIST_01","ELEV_99","WXCAT_11","Desert Unknown Terrain Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0102","DIST_01","ELEV_99","WXCAT_12","Windy Unknown Terrain Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0103","DIST_01","ELEV_99","WXCAT_13","Stormy Unknown Terrain Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0104","DIST_01","ELEV_99","WXCAT_14","Foggy Unknown Terrain Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0105","DIST_01","ELEV_99","WXCAT_15","Perfect Unknown Terrain Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0106","DIST_02","ELEV_01","WXCAT_01","Frozen Flat Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0107","DIST_02","ELEV_01","WXCAT_02","Chilly Flat Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0108","DIST_02","ELEV_01","WXCAT_03","Crisp Flat Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0109","DIST_02","ELEV_01","WXCAT_04","Damp Flat Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0110","DIST_02","ELEV_01","WXCAT_05","Dry Flat Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0111","DIST_02","ELEV_01","WXCAT_06","Swampy Flat Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0112","DIST_02","ELEV_01","WXCAT_07","Toasty Flat Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0113","DIST_02","ELEV_01","WXCAT_08","Slick Flat Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0114","DIST_02","ELEV_01","WXCAT_09","Sweaty Flat Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0115","DIST_02","ELEV_01","WXCAT_10","Molten Flat Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0116","DIST_02","ELEV_01","WXCAT_11","Desert Flat Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0117","DIST_02","ELEV_01","WXCAT_12","Windy Flat Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0118","DIST_02","ELEV_01","WXCAT_13","Stormy Flat Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0119","DIST_02","ELEV_01","WXCAT_14","Foggy Flat Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0120","DIST_02","ELEV_01","WXCAT_15","Perfect Flat Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0121","DIST_02","ELEV_02","WXCAT_01","Frozen Rolling Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0122","DIST_02","ELEV_02","WXCAT_02","Chilly Rolling Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0123","DIST_02","ELEV_02","WXCAT_03","Crisp Rolling Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0124","DIST_02","ELEV_02","WXCAT_04","Damp Rolling Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0125","DIST_02","ELEV_02","WXCAT_05","Dry Rolling Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0126","DIST_02","ELEV_02","WXCAT_06","Swampy Rolling Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0127","DIST_02","ELEV_02","WXCAT_07","Toasty Rolling Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0128","DIST_02","ELEV_02","WXCAT_08","Slick Rolling Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0129","DIST_02","ELEV_02","WXCAT_09","Sweaty Rolling Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0130","DIST_02","ELEV_02","WXCAT_10","Molten Rolling Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0131","DIST_02","ELEV_02","WXCAT_11","Desert Rolling Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0132","DIST_02","ELEV_02","WXCAT_12","Windy Rolling Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0133","DIST_02","ELEV_02","WXCAT_13","Stormy Rolling Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0134","DIST_02","ELEV_02","WXCAT_14","Foggy Rolling Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0135","DIST_02","ELEV_02","WXCAT_15","Perfect Rolling Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0136","DIST_02","ELEV_03","WXCAT_01","Frozen Hilly Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0137","DIST_02","ELEV_03","WXCAT_02","Chilly Hilly Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0138","DIST_02","ELEV_03","WXCAT_03","Crisp Hilly Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0139","DIST_02","ELEV_03","WXCAT_04","Damp Hilly Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0140","DIST_02","ELEV_03","WXCAT_05","Dry Hilly Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0141","DIST_02","ELEV_03","WXCAT_06","Swampy Hilly Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0142","DIST_02","ELEV_03","WXCAT_07","Toasty Hilly Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0143","DIST_02","ELEV_03","WXCAT_08","Slick Hilly Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0144","DIST_02","ELEV_03","WXCAT_09","Sweaty Hilly Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0145","DIST_02","ELEV_03","WXCAT_10","Molten Hilly Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0146","DIST_02","ELEV_03","WXCAT_11","Desert Hilly Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0147","DIST_02","ELEV_03","WXCAT_12","Windy Hilly Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0148","DIST_02","ELEV_03","WXCAT_13","Stormy Hilly Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0149","DIST_02","ELEV_03","WXCAT_14","Foggy Hilly Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0150","DIST_02","ELEV_03","WXCAT_15","Perfect Hilly Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0151","DIST_02","ELEV_04","WXCAT_01","Frozen Climber's Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0152","DIST_02","ELEV_04","WXCAT_02","Chilly Climber's Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0153","DIST_02","ELEV_04","WXCAT_03","Crisp Climber's Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0154","DIST_02","ELEV_04","WXCAT_04","Damp Climber's Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0155","DIST_02","ELEV_04","WXCAT_05","Dry Climber's Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0156","DIST_02","ELEV_04","WXCAT_06","Swampy Climber's Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0157","DIST_02","ELEV_04","WXCAT_07","Toasty Climber's Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0158","DIST_02","ELEV_04","WXCAT_08","Slick Climber's Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0159","DIST_02","ELEV_04","WXCAT_09","Sweaty Climber's Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0160","DIST_02","ELEV_04","WXCAT_10","Molten Climber's Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0161","DIST_02","ELEV_04","WXCAT_11","Desert Climber's Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0162","DIST_02","ELEV_04","WXCAT_12","Windy Climber's Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0163","DIST_02","ELEV_04","WXCAT_13","Stormy Climber's Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0164","DIST_02","ELEV_04","WXCAT_14","Foggy Climber's Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0165","DIST_02","ELEV_04","WXCAT_15","Perfect Climber's Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0166","DIST_02","ELEV_05","WXCAT_01","Frozen Leg Burner Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0167","DIST_02","ELEV_05","WXCAT_02","Chilly Leg Burner Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0168","DIST_02","ELEV_05","WXCAT_03","Crisp Leg Burner Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0169","DIST_02","ELEV_05","WXCAT_04","Damp Leg Burner Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0170","DIST_02","ELEV_05","WXCAT_05","Dry Leg Burner Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0171","DIST_02","ELEV_05","WXCAT_06","Swampy Leg Burner Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0172","DIST_02","ELEV_05","WXCAT_07","Toasty Leg Burner Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0173","DIST_02","ELEV_05","WXCAT_08","Slick Leg Burner Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0174","DIST_02","ELEV_05","WXCAT_09","Sweaty Leg Burner Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0175","DIST_02","ELEV_05","WXCAT_10","Molten Leg Burner Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0176","DIST_02","ELEV_05","WXCAT_11","Desert Leg Burner Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0177","DIST_02","ELEV_05","WXCAT_12","Windy Leg Burner Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0178","DIST_02","ELEV_05","WXCAT_13","Stormy Leg Burner Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0179","DIST_02","ELEV_05","WXCAT_14","Foggy Leg Burner Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0180","DIST_02","ELEV_05","WXCAT_15","Perfect Leg Burner Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0181","DIST_02","ELEV_06","WXCAT_01","Frozen Summit Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0182","DIST_02","ELEV_06","WXCAT_02","Chilly Summit Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0183","DIST_02","ELEV_06","WXCAT_03","Crisp Summit Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0184","DIST_02","ELEV_06","WXCAT_04","Damp Summit Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0185","DIST_02","ELEV_06","WXCAT_05","Dry Summit Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0186","DIST_02","ELEV_06","WXCAT_06","Swampy Summit Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0187","DIST_02","ELEV_06","WXCAT_07","Toasty Summit Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0188","DIST_02","ELEV_06","WXCAT_08","Slick Summit Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0189","DIST_02","ELEV_06","WXCAT_09","Sweaty Summit Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0190","DIST_02","ELEV_06","WXCAT_10","Molten Summit Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0191","DIST_02","ELEV_06","WXCAT_11","Desert Summit Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0192","DIST_02","ELEV_06","WXCAT_12","Windy Summit Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0193","DIST_02","ELEV_06","WXCAT_13","Stormy Summit Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0194","DIST_02","ELEV_06","WXCAT_14","Foggy Summit Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0195","DIST_02","ELEV_06","WXCAT_15","Perfect Summit Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0196","DIST_02","ELEV_99","WXCAT_01","Frozen Unknown Terrain Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0197","DIST_02","ELEV_99","WXCAT_02","Chilly Unknown Terrain Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0198","DIST_02","ELEV_99","WXCAT_03","Crisp Unknown Terrain Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0199","DIST_02","ELEV_99","WXCAT_04","Damp Unknown Terrain Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0200","DIST_02","ELEV_99","WXCAT_05","Dry Unknown Terrain Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0201","DIST_02","ELEV_99","WXCAT_06","Swampy Unknown Terrain Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0202","DIST_02","ELEV_99","WXCAT_07","Toasty Unknown Terrain Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0203","DIST_02","ELEV_99","WXCAT_08","Slick Unknown Terrain Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0204","DIST_02","ELEV_99","WXCAT_09","Sweaty Unknown Terrain Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0205","DIST_02","ELEV_99","WXCAT_10","Molten Unknown Terrain Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0206","DIST_02","ELEV_99","WXCAT_11","Desert Unknown Terrain Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0207","DIST_02","ELEV_99","WXCAT_12","Windy Unknown Terrain Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0208","DIST_02","ELEV_99","WXCAT_13","Stormy Unknown Terrain Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0209","DIST_02","ELEV_99","WXCAT_14","Foggy Unknown Terrain Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0210","DIST_02","ELEV_99","WXCAT_15","Perfect Unknown Terrain Sprint","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0211","DIST_03","ELEV_01","WXCAT_01","Frozen Flat Dash","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0212","DIST_03","ELEV_01","WXCAT_02","Chilly Flat Dash","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0213","DIST_03","ELEV_01","WXCAT_03","Crisp Flat Dash","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0214","DIST_03","ELEV_01","WXCAT_04","Damp Flat Dash","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0215","DIST_03","ELEV_01","WXCAT_05","Dry Flat Dash","Auto-generated based on distance, elevation, and weather vibes."
